player,class,pos,summary,year,school,coach,Player,Class,Pos,Summary,Year,School,Coach
Desmond Anaya,SR,DL,,2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Mark Brown,SO,DL,,2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Kalvin Cruz,JR,DL,,2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Kevin Laudermill,JR,DL,,2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Nick Oliva,JR,DL,,2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Inuka Rhaheed,FR,DL,,2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Chance Roberts,JR,DL,,2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Donte Savage,SR,DL,,2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Thomas Shepard,FR,DL,,2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Anthony Smith,SR,DL,,2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Walton Taumoepeau,SR,DL,,2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Bryan Bonilla,JR,LB,,2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Dylan Davis,JR,LB,,2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Anthony Joyner,SO,LB,,2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Alexander Lavoy,SR,LB,,2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Josh Smith,JR,LB,,2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
B.J. Adolpho,SR,LB,,2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Trashaun Nixon,JR,LB,,2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Davis Cazares,JR,DB,,2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Anthony Edwards,SR,DB,,2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Darien Johnson,JR,DB,,2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Dele Junaid,JR,DB,,2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Samuel Oyenuga,SO,DB,,2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
George Callender,JR,DB,,2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Cameron Fuller,JR,DB,,2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Jeremy Harris,SR,DB,,2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
Cayle Chapman-Brown,JR,P,,2012,New Mexico State,DeWayne Walker,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,Ben Olson*,JR,QB,"71 Cmp, 147 Att, 1040 Yds, 7 TD",2007,UCLA,DeWayne Walker
NA,NA,NA,NA,NA,NA,NA,Patrick Cowan,JR,QB,"72 Cmp, 135 Att, 696 Yds, 4 TD",2007,UCLA,DeWayne Walker
NA,NA,NA,NA,NA,NA,NA,McLeod Bethel-Thompson,FR,QB,"23 Cmp, 55 Att, 293 Yds, 1 TD",2007,UCLA,DeWayne Walker
NA,NA,NA,NA,NA,NA,NA,Chris Markey*,SR,RB,"176 Att, 715 Yds, 4.1 Avg",2007,UCLA,DeWayne Walker
NA,NA,NA,NA,NA,NA,NA,Trevor Theriot*,SO,RB,"3 Rec, 11 Yds, 3.7 Avg",2007,UCLA,DeWayne Walker
NA,NA,NA,NA,NA,NA,NA,Kahlil Bell,JR,RB,"142 Att, 795 Yds, 5.6 Avg",2007,UCLA,DeWayne Walker
NA,NA,NA,NA,NA,NA,NA,Fred Holmes,SR,RB,,2007,UCLA,DeWayne Walker
NA,NA,NA,NA,NA,NA,NA,Kenneth Lombard,JR,RB,,2007,UCLA,DeWayne Walker
NA,NA,NA,NA,NA,NA,NA,Chane Moline,SO,RB,"55 Att, 196 Yds, 3.6 Avg",2007,UCLA,DeWayne Walker
NA,NA,NA,NA,NA,NA,NA,Craig Sheppard,,RB,"28 Att, 133 Yds, 4.8 Avg",2007,UCLA,DeWayne Walker
