Player,Pos,Summary,Year
Scott Reber,RB,"5 Att, 51 Yds, 10.2 Avg",1979
Vic Whitsett,RB,"5 Att, 35 Yds, 7.0 Avg",1979
Lloyd Jones,WR,"33 Rec, 735 Yds, 22.3 Avg",1979
Bill Davis,WR,"21 Rec, 379 Yds, 18.0 Avg",1979
Matt Braga,WR,"21 Rec, 369 Yds, 17.6 Avg",1979
Dan Plater,WR,"24 Rec, 411 Yds, 17.1 Avg",1979
Kent Tingey,WR,"6 Rec, 87 Yds, 14.5 Avg",1979
Scott Collie,WR,"1 Rec, 10 Yds, 10.0 Avg",1979
Clay Brown,TE,"31 Rec, 498 Yds, 16.1 Avg",1979
Rob Anderson,TE,"4 Rec, 76 Yds, 19.0 Avg",1979
Dave Smith,TE,"1 Rec, 25 Yds, 25.0 Avg",1979
Tom Bell,OL,,1979
Nick Eyre,OL,,1979
Danny Hansen,OL,,1979
Scott Nielson,OL,,1979
Randy Tidwell,OL,,1979
Brent Johnson,K,,1979
Pulusila Filiaga,DL,,1979
Mat Mendenhall,DL,,1979
Mike Morgan,DL,,1979
Glen Titensor,DL,,1979
Rob Buchanan,DL,,1979
Jim Jaramillo,DL,,1979
Gary Kama,LB,,1979
Glen Redd,LB,,1979
Ed St. Pierre,LB,,1979
Tim Halverson,DB,,1979
John Neal,DB,,1979
Bob Prested,DB,,1979
Bill Schoepflin,DB,,1979
Dave Francis,DB,,1979
Rob Wilson,DB,,1979
Mark Brady,DB,,1979
Kevin Walker,DB,,1979
Mike Mees,P,,1979
Jim McMahon,QB,"284 Cmp, 445 Att, 4571 Yds, 47 TD",1980
Royce Bybee,QB,"33 Cmp, 53 Att, 347 Yds, 2 TD",1980
Eric Lane,RB,"96 Att, 467 Yds, 4.9 Avg",1980
Scott Phillips,RB,"60 Rec, 689 Yds, 11.5 Avg",1980
Homer Jones,RB,,1980
Scott Pettis,RB,"27 Att, 281 Yds, 10.4 Avg",1980
Steve Carlsen,RB,"17 Att, 71 Yds, 4.2 Avg",1980
Bruce Hansen,RB,"14 Att, 64 Yds, 4.6 Avg",1980
Vai Sikahema,RB,"7 Att, 44 Yds, 6.3 Avg",1980
Waymon Hamilton,RB,"6 Att, 45 Yds, 7.5 Avg",1980
Lloyd Jones,WR,"29 Rec, 661 Yds, 22.8 Avg",1980
Matt Braga,WR,"23 Rec, 431 Yds, 18.7 Avg",1980
Dan Plater,WR,"37 Rec, 660 Yds, 17.8 Avg",1980
Bill Davis,WR,"23 Rec, 411 Yds, 17.9 Avg",1980
Scott Collie,WR,"1 Rec, 10 Yds, 10.0 Avg",1980
Clay Brown,TE,"48 Rec, 1009 Yds, 21.0 Avg",1980
Rob Anderson,TE,"4 Rec, 58 Yds, 14.5 Avg",1980
Mike Lacey,TE,,1980
Calvin Close,OL,,1980
Lloyd Eldredge,OL,,1980
Nick Eyre,OL,,1980
Ray Linford,OL,,1980
Bart Oates,OL,,1980
Kurt Gunther,K,,1980
Lee Johnson,K,,1980
Brad Anae,DL,,1980
Chuck Ehin,DL,,1980
Mike Morgan,DL,,1980
Glen Titensor,DL,,1980
Pulusila Filiaga,DL,,1980
Glen Redd,LB,,1980
Ed St. Pierre,LB,,1980
Kyle Whittingham,LB,,1980
David Aupiu,LB,,1980
John Ramage,LB,,1980
Todd Shell,LB,,1980
Mark Walker,LB,,1980
Mark Brady,DB,,1980
Dave Francis,DB,,1980
Bob Prested,DB,,1980
Bill Schoepflin,DB,,1980
Tom Holmoe,DB,,1980
Rob Wilson,DB,,1980
Jim McMahon,QB,"272 Cmp, 423 Att, 3555 Yds, 30 TD",1981
Steve Young,QB,"56 Cmp, 112 Att, 731 Yds, 5 TD",1981
Waymon Hamilton,RB,"96 Att, 394 Yds, 4.1 Avg",1981
Scott Pettis,RB,"94 Att, 499 Yds, 5.3 Avg",1981
Bruce Hansen,RB,"35 Att, 176 Yds, 5.0 Avg",1981
Vai Sikahema,RB,"35 Att, 242 Yds, 6.9 Avg",1981
Jimmy Jones,RB,"12 Att, 64 Yds, 5.3 Avg",1981
Blair Buswell,RB,"1 Att, 2 Yds, 2.0 Avg",1981
Dan Plater,WR,"62 Rec, 891 Yds, 14.4 Avg",1981
Scott Collie,WR,"26 Rec, 404 Yds, 15.5 Avg",1981
Glen Kozlowski,WR,"29 Rec, 376 Yds, 13.0 Avg",1981
Neil Balholm,WR,"31 Rec, 465 Yds, 15.0 Avg",1981
Kirk Pendleton,WR,"1 Rec, 7 Yds, 7.0 Avg",1981
Gordon Hudson,TE,"67 Rec, 960 Yds, 14.3 Avg",1981
David Mills,TE,"6 Rec, 64 Yds, 10.7 Avg",1981
Dave Aina,TE,"1 Rec, 19 Yds, 19.0 Avg",1981
Calvin Close,OL,,1981
Lloyd Eldredge,OL,,1981
Bart Oates,OL,,1981
Steve Rogers,OL,,1981
Vince Stroth,OL,,1981
Wayne Faalufua,OL,,1981
Walt Manwill,OL,,1981
Corey Pace,OL,,1981
Kurt Gunther,K,,1981
Brad Anae,DL,,1981
Pulusila Filiaga,DL,,1981
Brandon Flint,DL,,1981
Mike Morgan,DL,,1981
Chuck Ehin,DL,,1981
Barry Oates,DL,,1981
David Aupiu,LB,,1981
Todd Shell,LB,,1981
Kyle Whittingham,LB,,1981
Mike O'Neil,LB,,1981
Steve Brady,DB,,1981
Tom Holmoe,DB,,1981
Dave McKee,DB,,1981
Kevin Walker,DB,,1981
John Mannion,DB,,1981
Mike Mees,P,,1981
Kyle Whittington,,,1981
Steve Young,QB,"230 Cmp, 367 Att, 3100 Yds, 18 TD",1982
Eric Krzmarzick,QB,"9 Cmp, 14 Att, 61 Yds, 1 TD",1982
Blaine Fowler,QB,"1 Cmp, 3 Att, 27 Yds, 0 TD",1982
Casey Tiumalu,RB,"110 Att, 665 Yds, 6.0 Avg",1982
Scott Pettis,RB,"28 Att, 119 Yds, 4.3 Avg",1982
Waymon Hamilton,RB,"65 Att, 320 Yds, 4.9 Avg",1982
Eddie Stinnett,RB,"46 Att, 267 Yds, 5.8 Avg",1982
Jimmy Jones,RB,"28 Att, 121 Yds, 4.3 Avg",1982
Bill McNabb,RB,"7 Att, 35 Yds, 5.0 Avg",1982
Scott Collie,WR,"16 Rec, 282 Yds, 17.6 Avg",1982
Neil Balholm,WR,"39 Rec, 749 Yds, 19.2 Avg",1982
Mike Eddo,WR,"15 Rec, 229 Yds, 15.3 Avg",1982
Kirk Pendleton,WR,"25 Rec, 334 Yds, 13.4 Avg",1982
Mark Bellini,WR,"2 Rec, 10 Yds, 5.0 Avg",1982
Gordon Hudson,TE,"67 Rec, 928 Yds, 13.9 Avg",1982
Steve Harper,TE,"3 Rec, 35 Yds, 11.7 Avg",1982
Lloyd Eldredge,OL,,1982
Wayne Faalufua,OL,,1982
Bart Oates,OL,,1982
Vince Stroth,OL,,1982
Neils Tidwell,OL,,1982
Kurt Gunther,K,,1982
Chuck Ehin,DL,,1982
Brandon Flint,DL,,1982
Mike Morgan,DL,,1982
Neil Anderson,DL,,1982
David Aupiu,LB,,1982
Brian Hansen,LB,,1982
Mike O'Neil,LB,,1982
Todd Shell,LB,,1982
David Neff,LB,,1982
Tom Holmoe,DB,,1982
Blake Jensen,DB,,1982
Kyle Morrell,DB,,1982
Kevin Walker,DB,,1982
John Mannion,DB,,1982
Greg Peterson,DB,,1982
Mike Mees,P,,1982
