Rk,Year,Lg,Rnd,Pick,Tm,Player,Pos,School,Coach
282,1959,NFL,28,333,RAM,Rafer Johnson,B,UCLA,DeWayne Walker
283,1958,NFL,14,163,RAM,Bill Mason,B,UCLA,DeWayne Walker
284,1958,NFL,20,231,CRD,Jim Matheny,C,UCLA,DeWayne Walker
285,1958,NFL,23,274,BAL,Phil Parslow,B,UCLA,DeWayne Walker
286,1958,NFL,26,302,GNB,Esker Harris,G,UCLA,DeWayne Walker
287,1957,NFL,2,20,BAL,Don Shinnick,LB,UCLA,DeWayne Walker
288,1957,NFL,3,37,CHI,Ronnie Knox,QB,UCLA,DeWayne Walker
289,1957,NFL,18,214,CRD,Hal Smith,DT,UCLA,DeWayne Walker
290,1957,NFL,21,243,RAM,Pat Pinkston,E,UCLA,DeWayne Walker
291,1956,NFL,10,117,NYG,Johnny Hermann,DB,UCLA,DeWayne Walker
292,1956,NFL,11,132,RAM,Jim Decker,B,UCLA,DeWayne Walker
293,1956,NFL,12,142,WAS,Gil Moreno,T,UCLA,DeWayne Walker
294,1956,NFL,17,202,CHI,Tom Adams,E,UCLA,DeWayne Walker
295,1956,NFL,18,210,CRD,Jim Brown,G,UCLA,DeWayne Walker
296,1956,NFL,19,226,CHI,John Smith,B,UCLA,DeWayne Walker
297,1956,NFL,22,265,CLE,Sam (First Down) Brown,B,UCLA,DeWayne Walker
298,1956,NFL,25,301,CLE,Bob Davenport,B,UCLA,DeWayne Walker
299,1956,NFL,26,304,SFO,Rommie Loudd,LB,UCLA,DeWayne Walker
300,1956,NFL,26,312,RAM,Hardiman Cureton,T,UCLA,DeWayne Walker
301,1956,NFL,29,338,DET,Doug Peters,B,UCLA,DeWayne Walker
302,1955,NFL,2,18,RAM,Bob Long,LB,UCLA,DeWayne Walker
303,1955,NFL,2,24,DET,Jim Salsbury,G,UCLA,DeWayne Walker
304,1955,NFL,11,127,RAM,Joe Ray,T,UCLA,DeWayne Walker
305,1954,NFL,4,44,DET,Bill Stits,DB,UCLA,DeWayne Walker
306,1954,NFL,8,91,PIT,Paul Cameron,DB,UCLA,DeWayne Walker
307,1954,NFL,8,97,DET,Milt Davis,DB,UCLA,DeWayne Walker
308,1954,NFL,9,100,NYG,Pete O'Garro,E,UCLA,DeWayne Walker
309,1953,NFL,1,9,RAM,Donn Moomaw,C,UCLA,DeWayne Walker
310,1953,NFL,12,145,RAM,Chuck Doud,G,UCLA,DeWayne Walker
311,1953,NFL,19,229,RAM,Jack Ellena,G,UCLA,DeWayne Walker
312,1953,NFL,25,296,GNB,Ike Jones,E,UCLA,DeWayne Walker
313,1953,NFL,25,299,SFO,Ernie Stockert,E,UCLA,DeWayne Walker
314,1953,NFL,28,327,BAL,Joe Sabol,B,UCLA,DeWayne Walker
315,1952,NFL,14,167,NYG,Hal Mitchell,T,UCLA,DeWayne Walker
316,1952,NFL,19,223,WAS,Joe Marvin,B,UCLA,DeWayne Walker
317,1951,NFL,18,215,NYY,Bob Watson,E,UCLA,DeWayne Walker
318,1951,NFL,24,287,NYY,James Stroschein,DE,UCLA,DeWayne Walker
319,1951,NFL,28,334,PIT,Howie Hansen,B,UCLA,DeWayne Walker
320,1950,NFL,10,124,NYG,Bob Wilkinson,E,UCLA,DeWayne Walker
321,1950,NFL,10,131,PHI,Ernie Johnson,B,UCLA,DeWayne Walker
322,1949,NFL,22,218,WAS,Bill Clements,E,UCLA,DeWayne Walker
323,1948,NFL,5,33,PHI,Jack Myers,FB,UCLA,DeWayne Walker
324,1947,NFL,1,4,WAS,Cal Rossi,B,UCLA,DeWayne Walker
325,1947,NFL,1,6,GNB,Ernie Case,QB,UCLA,DeWayne Walker
326,1947,NFL,3,20,GNB,Burr Baldwin,E,UCLA,DeWayne Walker
327,1947,NFL,3,21,RAM,Don Paul,LB,UCLA,DeWayne Walker
328,1947,NFL,8,58,PIT,Jerry Shipkey,LB,UCLA,DeWayne Walker
329,1947,NFL,9,68,WAS,Roy Kurrasch,E,UCLA,DeWayne Walker
